15227025,0.00,1820
15228026,0.00,1888
15229026,0.00,1888
15230027,0.00,1888
15231027,0.00,1888
15232027,0.00,1888
15233028,0.00,1888
15234028,0.00,1964
15235028,0.00,1964
15236029,0.00,1964
15237029,0.00,1964
15238029,0.00,1964
15239030,0.00,1964
15240030,0.00,1964
15241031,0.00,1976
15242031,0.00,1976
15243031,0.00,1976
15244032,0.00,1976
15245032,0.00,1976
15246032,0.00,1996
15247033,0.00,1996
15248033,0.00,1996
15249033,0.00,1996
15250034,0.00,1996
15251034,0.00,1996
15252035,0.00,1996
15253035,0.00,1996
15254035,0.00,1996
15255035,0.00,1996
15256036,0.00,1996
15257036,0.00,1996
15258036,0.00,1996
15259037,0.00,1996
15260037,0.00,1996
15261037,0.00,1996
15262038,0.00,1996
15263038,0.00,1996
15264038,0.00,1996
15265038,0.00,1996
15266039,0.00,2008
15267039,0.00,2008
15268040,0.00,2008
15269040,0.00,2008
15270040,0.00,2008
15271040,0.00,2008
15272041,0.00,2008
15273041,0.00,2008
15274041,0.00,2008
15275042,1.00,2008
15276042,0.00,2008
15277043,0.00,2008
15278043,0.00,2008
15279043,0.00,2008
15280044,0.00,2008
15281044,0.00,2008
15282044,0.00,2008
15283045,0.00,2008
15284045,0.00,2008
15285045,0.00,2008
15286046,0.00,2008
15287046,0.00,2008
15288046,0.00,2008
15289047,0.00,2008
15290047,0.00,2008
15291047,0.00,2008
15292047,0.00,2008
15337386,0.00,1816
15338386,0.00,1884
15339387,0.00,1884
15340387,0.00,1884
15341387,0.00,1884
15342388,0.00,1884
15343388,0.00,1884
15344389,0.00,1960
15345389,0.00,1960
15346389,0.00,1960
15347390,0.00,1960
15348390,0.00,1960
15349390,0.00,1960
15350391,0.00,1960
15351391,0.00,1960
15352391,0.00,1960
15353392,0.00,1960
15354392,0.00,1972
15355392,0.00,1972
15356393,0.00,1972
15357393,0.00,1972
15358394,0.00,1992
15359394,0.00,1992
15360394,0.00,1992
15361395,0.00,1992
15362395,0.00,1992
15363395,0.00,1992
15364396,0.00,2004
15365396,0.00,2004
15366396,0.00,2004
15367397,0.00,2004
15368397,0.00,2004
15369397,0.00,2004
15370398,0.00,2004
15371398,0.00,2004
15372399,0.00,2004
15373399,0.00,2004
